Model,Accuracy,Precision,Recall,F1,AUC,CV_Mean,CV_Std
Neural Network,1.0,1.0,1.0,1.0,1.0,0.971539306640625,0.017848359550450884
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9763012181616834,0.015060093782950368
SVM,1.0,1.0,1.0,1.0,1.0,0.9526024363233667,0.01506497893000522
Logistic Regression,0.9767441860465116,0.9565217391304348,1.0,0.9777777777777777,0.9978354978354977,0.9383167220376523,0.032397657838401706
AdaBoost,0.9767441860465116,0.9565217391304348,1.0,0.9777777777777777,1.0,0.9857142857142858,0.01904761904761907
Gradient Boosting,0.9534883720930233,0.9166666666666666,1.0,0.9565217391304348,0.9523809523809524,0.9715393133997784,0.03500847806596542
Decision Tree,0.9534883720930233,0.9166666666666666,1.0,0.9565217391304348,0.9523809523809523,0.9763012181616834,0.036886220636218915
Naive Bayes,0.8372093023255814,0.7586206896551724,1.0,0.8627450980392157,0.8809523809523809,0.791140642303433,0.09258015546255764
